,track,artist,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,genre,duration_ms,release_date,id,artist_id,track_id,popularity,analysis_url,time_signature,track_href,type,uri
3633,Let Me Know,LANY,0.264,0.696,0.391,2.98e-06,11,0.127,-8.306,0,0.0825,94.971,0.65,"['la pop', 'pop']",276197,2018-10-05,7DMPq3XndRJaj6NTINsLOz,49tQo2QULno7gxHutgccqF,7DMPq3XndRJaj6NTINsLOz,61,https://api.spotify.com/v1/audio-analysis/7DMPq3XndRJaj6NTINsLOz,4,https://api.spotify.com/v1/tracks/7DMPq3XndRJaj6NTINsLOz,audio_features,spotify:track:7DMPq3XndRJaj6NTINsLOz
3634,Make You Remember,Lazy Weekends,0.395,0.746,0.496,0.0,5,0.0898,-4.796,1,0.0826,139.933,0.849,['scandipop'],213760,2018-06-22,1xcHfI2pbsBKmKDbd1zD96,1UxXVm3Hqcusvyo6TtYMWs,1xcHfI2pbsBKmKDbd1zD96,60,https://api.spotify.com/v1/audio-analysis/1xcHfI2pbsBKmKDbd1zD96,4,https://api.spotify.com/v1/tracks/1xcHfI2pbsBKmKDbd1zD96,audio_features,spotify:track:1xcHfI2pbsBKmKDbd1zD96
3635,The Snake,Eric Church,0.907,0.442,0.335,0.132,5,0.273,-17.789,0,0.0979,177.372,0.394,"['contemporary country', 'country', 'country road', 'modern country rock']",240027,2018-10-05,1GLGfSerlDXRYBCJtHHnua,2IvkS5MXK0vPGnwyJsrEyV,1GLGfSerlDXRYBCJtHHnua,51,https://api.spotify.com/v1/audio-analysis/1GLGfSerlDXRYBCJtHHnua,4,https://api.spotify.com/v1/tracks/1GLGfSerlDXRYBCJtHHnua,audio_features,spotify:track:1GLGfSerlDXRYBCJtHHnua
3636,You Deserve Better,James Arthur,0.0322,0.516,0.56,0.0,6,0.15,-7.116,0,0.486,98.94,0.696,"['dance pop', 'pop', 'post-teen pop', 'talent show']",207773,2018-06-01,4S1GTwPVpkSy7CsJIDKPEz,4IWBUUAFIplrNtaOHcJPRM,4S1GTwPVpkSy7CsJIDKPEz,62,https://api.spotify.com/v1/audio-analysis/4S1GTwPVpkSy7CsJIDKPEz,4,https://api.spotify.com/v1/tracks/4S1GTwPVpkSy7CsJIDKPEz,audio_features,spotify:track:4S1GTwPVpkSy7CsJIDKPEz
3637,Defender (Live),UPPERROOM,0.162,0.227,0.356,3.09e-06,7,0.0628,-6.605,1,0.0305,139.565,0.0704,"['anthem worship', 'ccm', 'world worship']",532653,2018-05-18,3JlJf45Z3GPkIbIM9OqfTZ,107CG0UhUl9GJnPwF83N63,3JlJf45Z3GPkIbIM9OqfTZ,53,https://api.spotify.com/v1/audio-analysis/3JlJf45Z3GPkIbIM9OqfTZ,4,https://api.spotify.com/v1/tracks/3JlJf45Z3GPkIbIM9OqfTZ,audio_features,spotify:track:3JlJf45Z3GPkIbIM9OqfTZ
3638,In the Clouds,Astron,0.93,0.318,0.0466,0.936,1,0.201,-20.373,0,0.0347,73.629,0.0384,"['background music', 'focus']",176797,2018-01-03,2AvDzQfRf5Bx8PX0qRWLRc,6qiuwoB9ro3SX0ZjSXnr0y,2AvDzQfRf5Bx8PX0qRWLRc,56,https://api.spotify.com/v1/audio-analysis/2AvDzQfRf5Bx8PX0qRWLRc,4,https://api.spotify.com/v1/tracks/2AvDzQfRf5Bx8PX0qRWLRc,audio_features,spotify:track:2AvDzQfRf5Bx8PX0qRWLRc
3639,Oom Sha La La,Haley Heynderickx,0.275,0.538,0.417,0.0,2,0.206,-9.176,1,0.0361,115.422,0.252,"['art pop', 'chamber pop', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'portland indie', 'preverb', 'small room', 'stomp and holler']",177340,2018-03-02,28kOpVf1aCgL0LSFfuKV4w,73MDShZzdL4vUGMkmXOG6X,28kOpVf1aCgL0LSFfuKV4w,54,https://api.spotify.com/v1/audio-analysis/28kOpVf1aCgL0LSFfuKV4w,4,https://api.spotify.com/v1/tracks/28kOpVf1aCgL0LSFfuKV4w,audio_features,spotify:track:28kOpVf1aCgL0LSFfuKV4w
3640,Sauce Like This,Smokepurpp,0.00545,0.885,0.787,0.0,1,0.0669,-6.962,1,0.321,146.066,0.342,"['miami hip hop', 'rap', 'southern hip hop', 'trap music', 'underground hip hop', 'vapor trap']",121704,2018-12-14,0h0BIUrAch3T6DVV6bFTKX,21dooacK2WGBB5amYvKyfM,0h0BIUrAch3T6DVV6bFTKX,54,https://api.spotify.com/v1/audio-analysis/0h0BIUrAch3T6DVV6bFTKX,4,https://api.spotify.com/v1/tracks/0h0BIUrAch3T6DVV6bFTKX,audio_features,spotify:track:0h0BIUrAch3T6DVV6bFTKX
3641,C Notes (feat. Fenix Flexin & Ohgeesy),Shoreline Mafia,0.103,0.795,0.644,0.0,3,0.117,-7.883,0,0.237,164.988,0.465,"['cali rap', 'trap music', 'underground hip hop', 'vapor trap']",145455,2018-07-13,0dmGOYyUrdPrXuV08jvsl6,4tYSBptyGeVyZsk8JC4JHZ,0dmGOYyUrdPrXuV08jvsl6,51,https://api.spotify.com/v1/audio-analysis/0dmGOYyUrdPrXuV08jvsl6,4,https://api.spotify.com/v1/tracks/0dmGOYyUrdPrXuV08jvsl6,audio_features,spotify:track:0dmGOYyUrdPrXuV08jvsl6
3642,Sex n' Drugs,Abhi The Nomad,0.299,0.831,0.32,0.0,7,0.0757,-7.916,1,0.143,80.935,0.319,"['desi hip hop', 'indie pop rap', 'underground hip hop', 'vapor soul']",217778,2018-02-09,0G2wimhVoDYXbQ6csDxtSf,1gUi2utSbJLNPddYENJAp4,0G2wimhVoDYXbQ6csDxtSf,55,https://api.spotify.com/v1/audio-analysis/0G2wimhVoDYXbQ6csDxtSf,4,https://api.spotify.com/v1/tracks/0G2wimhVoDYXbQ6csDxtSf,audio_features,spotify:track:0G2wimhVoDYXbQ6csDxtSf
3643,Where Did I Go?,Jorja Smith,0.365,0.714,0.59,0.167,5,0.0844,-9.849,1,0.0812,97.048,0.357,"['pop', 'r&b', 'uk contemporary r&b']",191992,2018-06-08,79OKfIXCPbNhZa3h1ZREag,1CoZyIx7UvdxT5c8UkMzHd,79OKfIXCPbNhZa3h1ZREag,61,https://api.spotify.com/v1/audio-analysis/79OKfIXCPbNhZa3h1ZREag,4,https://api.spotify.com/v1/tracks/79OKfIXCPbNhZa3h1ZREag,audio_features,spotify:track:79OKfIXCPbNhZa3h1ZREag
3644,Evil Fantasy,Freddie Dredd,0.22,0.855,0.796,0.000321,5,0.107,-5.976,1,0.316,80.028,0.655,"['dark trap', 'phonk', 'underground hip hop']",114129,2018-01-08,3A4TIpLeMng0Nn0N7yre4g,0dlDsD7y6ccmDm8tuWCU6F,3A4TIpLeMng0Nn0N7yre4g,54,https://api.spotify.com/v1/audio-analysis/3A4TIpLeMng0Nn0N7yre4g,4,https://api.spotify.com/v1/tracks/3A4TIpLeMng0Nn0N7yre4g,audio_features,spotify:track:3A4TIpLeMng0Nn0N7yre4g
3645,Fool of Myself,The Band CAMINO,0.319,0.546,0.551,0.000157,0,0.111,-5.861,1,0.0288,153.617,0.726,"['electropop', 'folk-pop', 'hopebeat', 'indie cafe pop', 'indie poptimism', 'indiecoustica', 'modern rock', 'neo mellow']",213215,2018-05-25,2m1EQGGjWt8z4rqcjyzFoR,6d4jrmreCmsenscuieJERc,2m1EQGGjWt8z4rqcjyzFoR,52,https://api.spotify.com/v1/audio-analysis/2m1EQGGjWt8z4rqcjyzFoR,4,https://api.spotify.com/v1/tracks/2m1EQGGjWt8z4rqcjyzFoR,audio_features,spotify:track:2m1EQGGjWt8z4rqcjyzFoR
3646,The One - Radio Edit,Jorja Smith,0.204,0.482,0.714,0.000239,0,0.0973,-7.689,0,0.0518,82.019,0.536,"['pop', 'r&b', 'uk contemporary r&b']",165040,2018-12-07,3myKrRi0ZXU9pRfGgpUCTj,1CoZyIx7UvdxT5c8UkMzHd,3myKrRi0ZXU9pRfGgpUCTj,56,https://api.spotify.com/v1/audio-analysis/3myKrRi0ZXU9pRfGgpUCTj,4,https://api.spotify.com/v1/tracks/3myKrRi0ZXU9pRfGgpUCTj,audio_features,spotify:track:3myKrRi0ZXU9pRfGgpUCTj
3647,Just Woke Up,Supreme Patty,0.12,0.889,0.462,1.66e-06,11,0.0942,-9.821,1,0.0377,126.071,0.809,['vapor trap'],111588,2018-11-19,7oxy6gcerLrJ83E1dynA7W,5J688KtVJUBw5jM89jpbC9,7oxy6gcerLrJ83E1dynA7W,54,https://api.spotify.com/v1/audio-analysis/7oxy6gcerLrJ83E1dynA7W,5,https://api.spotify.com/v1/tracks/7oxy6gcerLrJ83E1dynA7W,audio_features,spotify:track:7oxy6gcerLrJ83E1dynA7W
3648,Siren,The Chainsmokers,0.351,0.588,0.779,0.0114,4,0.371,-4.284,0,0.107,150.015,0.264,"['electropop', 'pop', 'tropical house']",174307,2018-12-14,3K01yfjGY0NslZrXkWVAtK,69GGBxA162lTqCwzJG5jLp,3K01yfjGY0NslZrXkWVAtK,58,https://api.spotify.com/v1/audio-analysis/3K01yfjGY0NslZrXkWVAtK,4,https://api.spotify.com/v1/tracks/3K01yfjGY0NslZrXkWVAtK,audio_features,spotify:track:3K01yfjGY0NslZrXkWVAtK
3649,Higher Wire,Eric Church,0.943,0.566,0.439,2.68e-06,2,0.095,-7.379,1,0.0437,74.31,0.327,"['contemporary country', 'country', 'country road', 'modern country rock']",163467,2018-10-05,74ZZOckotaqxig604AmI0Z,2IvkS5MXK0vPGnwyJsrEyV,74ZZOckotaqxig604AmI0Z,51,https://api.spotify.com/v1/audio-analysis/74ZZOckotaqxig604AmI0Z,4,https://api.spotify.com/v1/tracks/74ZZOckotaqxig604AmI0Z,audio_features,spotify:track:74ZZOckotaqxig604AmI0Z
3650,A Moment Apart,ODESZA,0.179,0.51,0.663,0.673,7,0.491,-7.896,0,0.0333,120.018,0.075,"['chillwave', 'ninja', 'tropical house']",234244,2018-11-30,5XOyL7enRCDxMsXtPSeaXD,21mKp7DqtSNHhCAU2ugvUw,5XOyL7enRCDxMsXtPSeaXD,53,https://api.spotify.com/v1/audio-analysis/5XOyL7enRCDxMsXtPSeaXD,4,https://api.spotify.com/v1/tracks/5XOyL7enRCDxMsXtPSeaXD,audio_features,spotify:track:5XOyL7enRCDxMsXtPSeaXD
3651,Another One of Those Days,Cavetown,0.449,0.603,0.546,0.0,0,0.0851,-9.365,0,0.0267,134.966,0.375,"['bedroom pop', 'pop']",246042,2018-01-01,106N8qaYdcpymlEolAHNER,2hR4h1Cao2ueuI7Cx9c7V8,106N8qaYdcpymlEolAHNER,54,https://api.spotify.com/v1/audio-analysis/106N8qaYdcpymlEolAHNER,4,https://api.spotify.com/v1/tracks/106N8qaYdcpymlEolAHNER,audio_features,spotify:track:106N8qaYdcpymlEolAHNER
3652,Just Da Other Day,JID,0.0904,0.821,0.529,1.73e-06,1,0.162,-6.924,1,0.18,98.555,0.0622,"['hip hop', 'pop rap', 'rap', 'underground hip hop']",229045,2018-11-26,2fU2TSb3bghWYkPFuqgSkr,6U3ybJ9UHNKEdsH7ktGBZ7,2fU2TSb3bghWYkPFuqgSkr,53,https://api.spotify.com/v1/audio-analysis/2fU2TSb3bghWYkPFuqgSkr,4,https://api.spotify.com/v1/tracks/2fU2TSb3bghWYkPFuqgSkr,audio_features,spotify:track:2fU2TSb3bghWYkPFuqgSkr
3653,Caminando Con Buen Porte,Fuerza Regida,0.321,0.479,0.782,0.0,0,0.14,-2.254,1,0.0334,165.186,0.966,['regional mexican pop'],193656,2018-07-20,302EyQ2HF5QXgNjUCgiTdC,0ys2OFYzWYB5hRDLCsBqxt,302EyQ2HF5QXgNjUCgiTdC,53,https://api.spotify.com/v1/audio-analysis/302EyQ2HF5QXgNjUCgiTdC,3,https://api.spotify.com/v1/tracks/302EyQ2HF5QXgNjUCgiTdC,audio_features,spotify:track:302EyQ2HF5QXgNjUCgiTdC
3654,Cocktails,Syndrome,0.927,0.72,0.192,0.96,7,0.082,-15.78,0,0.038,145.911,0.631,[],101956,2018-08-10,37gNKK87AHQpmDmQWWII3Z,0aoTIxQJvGyH2vLza8yOe5,37gNKK87AHQpmDmQWWII3Z,53,https://api.spotify.com/v1/audio-analysis/37gNKK87AHQpmDmQWWII3Z,3,https://api.spotify.com/v1/tracks/37gNKK87AHQpmDmQWWII3Z,audio_features,spotify:track:37gNKK87AHQpmDmQWWII3Z
3655,It Ain't Me,Kolby Cooper,0.00124,0.363,0.74,5.77e-05,6,0.315,-5.015,1,0.0332,149.74,0.223,['red dirt'],268565,2018-02-15,610z3fv4hqlH5eff9yBJTN,2dz0ijxEHh6AzUzQBwBSKx,610z3fv4hqlH5eff9yBJTN,51,https://api.spotify.com/v1/audio-analysis/610z3fv4hqlH5eff9yBJTN,3,https://api.spotify.com/v1/tracks/610z3fv4hqlH5eff9yBJTN,audio_features,spotify:track:610z3fv4hqlH5eff9yBJTN
3656,Yz,Upchurch,0.0241,0.809,0.95,3.53e-05,1,0.215,-7.655,1,0.1,140.055,0.787,"['country rap', 'redneck']",174480,2018-10-15,3XeOW6styagl3LQ8GrUqHp,2pSObt5Fk8izuX8ZfI3jRn,3XeOW6styagl3LQ8GrUqHp,50,https://api.spotify.com/v1/audio-analysis/3XeOW6styagl3LQ8GrUqHp,3,https://api.spotify.com/v1/tracks/3XeOW6styagl3LQ8GrUqHp,audio_features,spotify:track:3XeOW6styagl3LQ8GrUqHp
3657,Real Thing (feat. Future),Tory Lanez,0.00499,0.668,0.508,0.0,7,0.318,-7.502,0,0.356,160.225,0.371,"['canadian hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'toronto rap', 'trap music']",243173,2018-03-02,5XOmSGj94D3jHvFwxOjzVD,2jku7tDXc6XoB6MO2hFuqg,5XOmSGj94D3jHvFwxOjzVD,55,https://api.spotify.com/v1/audio-analysis/5XOmSGj94D3jHvFwxOjzVD,4,https://api.spotify.com/v1/tracks/5XOmSGj94D3jHvFwxOjzVD,audio_features,spotify:track:5XOmSGj94D3jHvFwxOjzVD
3658,If You Want To,beabadoobee,0.109,0.666,0.527,9.02e-05,9,0.132,-5.852,1,0.034,115.979,0.37,[],223638,2018-12-07,7I1kle4TNmkfednJDKo8GR,35l9BRT7MXmM8bv2WDQiyB,7I1kle4TNmkfednJDKo8GR,54,https://api.spotify.com/v1/audio-analysis/7I1kle4TNmkfednJDKo8GR,4,https://api.spotify.com/v1/tracks/7I1kle4TNmkfednJDKo8GR,audio_features,spotify:track:7I1kle4TNmkfednJDKo8GR
3659,Thank God It's Friday,Ice Nine Kills,0.00438,0.359,0.983,0.0,10,0.32,-3.834,1,0.262,158.03,0.145,"['melodic metalcore', 'metalcore', 'post-screamo', 'screamo']",263640,2018-10-05,6eHkHIGGcGatFhhqeuRWFN,52qKfVcIV4GS8A8Vay2xtt,6eHkHIGGcGatFhhqeuRWFN,53,https://api.spotify.com/v1/audio-analysis/6eHkHIGGcGatFhhqeuRWFN,4,https://api.spotify.com/v1/tracks/6eHkHIGGcGatFhhqeuRWFN,audio_features,spotify:track:6eHkHIGGcGatFhhqeuRWFN
3660,Lately,Forrest.,0.213,0.718,0.632,1.28e-05,0,0.283,-4.011,1,0.145,160.039,0.859,['lo-fi beats'],207000,2018-11-01,5awvelCGpDQHwgZem0ira9,6chWbUfdu6ibyaCXM1w8kQ,5awvelCGpDQHwgZem0ira9,53,https://api.spotify.com/v1/audio-analysis/5awvelCGpDQHwgZem0ira9,4,https://api.spotify.com/v1/tracks/5awvelCGpDQHwgZem0ira9,audio_features,spotify:track:5awvelCGpDQHwgZem0ira9
3661,BABY DADDY,Lil Yachty,0.00872,0.972,0.482,0.0,8,0.149,-6.128,1,0.0703,125.014,0.0767,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",185883,2018-03-09,3ALgsy4RtDm58xl3VNoSgZ,6icQOAFXDZKsumw3YXyusw,3ALgsy4RtDm58xl3VNoSgZ,54,https://api.spotify.com/v1/audio-analysis/3ALgsy4RtDm58xl3VNoSgZ,4,https://api.spotify.com/v1/tracks/3ALgsy4RtDm58xl3VNoSgZ,audio_features,spotify:track:3ALgsy4RtDm58xl3VNoSgZ
3662,On My Own,Bazanji,0.098,0.757,0.694,0.0,7,0.103,-7.506,0,0.064,120.092,0.358,"['bass trap', 'deep underground hip hop', 'indie pop rap']",228000,2018-04-08,0IwQnRxRNsXnqcmvs4ahHb,3L8FZaw2Rg1oUw3vB4gUME,0IwQnRxRNsXnqcmvs4ahHb,54,https://api.spotify.com/v1/audio-analysis/0IwQnRxRNsXnqcmvs4ahHb,4,https://api.spotify.com/v1/tracks/0IwQnRxRNsXnqcmvs4ahHb,audio_features,spotify:track:0IwQnRxRNsXnqcmvs4ahHb
3663,Trapstar,Lil Mosey,0.261,0.682,0.662,0.0,7,0.115,-5.782,1,0.0398,159.926,0.171,"['rap conscient', 'trap music', 'vapor trap']",144000,2018-10-19,1Xi7FC0nwseWUBlBDPLnWI,5zctI4wO9XSKS8XwcnqEHk,1Xi7FC0nwseWUBlBDPLnWI,54,https://api.spotify.com/v1/audio-analysis/1Xi7FC0nwseWUBlBDPLnWI,4,https://api.spotify.com/v1/tracks/1Xi7FC0nwseWUBlBDPLnWI,audio_features,spotify:track:1Xi7FC0nwseWUBlBDPLnWI
3664,Books,Caamp,0.775,0.61,0.329,0.0227,4,0.27,-13.107,1,0.0374,92.893,0.492,"['deep new americana', 'folk-pop', 'indie folk', 'new americana', 'stomp and holler']",236095,2018-07-13,6WHNJHwOZSi42BSBVEQmso,0wyMPXGfOuQzNR54ujR9Ix,6WHNJHwOZSi42BSBVEQmso,54,https://api.spotify.com/v1/audio-analysis/6WHNJHwOZSi42BSBVEQmso,4,https://api.spotify.com/v1/tracks/6WHNJHwOZSi42BSBVEQmso,audio_features,spotify:track:6WHNJHwOZSi42BSBVEQmso
3665,Colour,MNEK,0.408,0.683,0.782,0.0,0,0.236,-2.989,1,0.0497,100.954,0.673,"['house', 'tropical house', 'uk contemporary r&b', 'uk pop']",201420,2018-06-01,7haQE5nOcxwk0HXahP0aV3,7uMh23xWiuR7zsNkuNcm2G,7haQE5nOcxwk0HXahP0aV3,62,https://api.spotify.com/v1/audio-analysis/7haQE5nOcxwk0HXahP0aV3,4,https://api.spotify.com/v1/tracks/7haQE5nOcxwk0HXahP0aV3,audio_features,spotify:track:7haQE5nOcxwk0HXahP0aV3
3666,Landslide,Dagny,0.625,0.589,0.609,0.000759,10,0.0688,-7.593,1,0.053,149.976,0.411,"['electropop', 'indie poptimism', 'norwegian indie', 'norwegian pop', 'tropical house']",179387,2018-07-24,41fecZEX4sPrRxnjZQ6DGU,6Paz0vXJJ9bCPf0fEm3qzg,41fecZEX4sPrRxnjZQ6DGU,58,https://api.spotify.com/v1/audio-analysis/41fecZEX4sPrRxnjZQ6DGU,4,https://api.spotify.com/v1/tracks/41fecZEX4sPrRxnjZQ6DGU,audio_features,spotify:track:41fecZEX4sPrRxnjZQ6DGU
3667,African Violet,Arden Forest,0.992,0.244,0.0192,0.907,8,0.0887,-25.142,0,0.0555,64.408,0.0419,"['background music', 'focus', 'neo-classical']",182436,2018-03-16,5vIug0SecVlX2XcfsZnJ3B,3LUa5res2UmvZ04kvlPMc7,5vIug0SecVlX2XcfsZnJ3B,57,https://api.spotify.com/v1/audio-analysis/5vIug0SecVlX2XcfsZnJ3B,5,https://api.spotify.com/v1/tracks/5vIug0SecVlX2XcfsZnJ3B,audio_features,spotify:track:5vIug0SecVlX2XcfsZnJ3B
3668,Gettin' Warmed Up,Jason Aldean,0.0137,0.64,0.946,0.0,9,0.0556,-4.03,0,0.0579,120.011,0.635,"['contemporary country', 'country', 'country road']",175253,2018-04-13,6kEKWnjcoD5RxxvzhbaWBh,3FfvYsEGaIb52QPXhg4DcH,6kEKWnjcoD5RxxvzhbaWBh,51,https://api.spotify.com/v1/audio-analysis/6kEKWnjcoD5RxxvzhbaWBh,4,https://api.spotify.com/v1/tracks/6kEKWnjcoD5RxxvzhbaWBh,audio_features,spotify:track:6kEKWnjcoD5RxxvzhbaWBh
3669,Help Me Out (with Julia Michaels),Maroon 5,0.461,0.934,0.564,1.84e-05,11,0.101,-4.806,1,0.0638,115.092,0.543,['pop'],193604,2018-06-15,1Px62X35tayLsX5V1qx1Mb,04gDigrS5kc9YWfZHwBETP,1Px62X35tayLsX5V1qx1Mb,52,https://api.spotify.com/v1/audio-analysis/1Px62X35tayLsX5V1qx1Mb,4,https://api.spotify.com/v1/tracks/1Px62X35tayLsX5V1qx1Mb,audio_features,spotify:track:1Px62X35tayLsX5V1qx1Mb
3670,Wonders of the Unknown,Behind Clouds,0.837,0.644,0.512,0.934,10,0.12,-12.337,0,0.0337,139.946,0.506,['lo-fi beats'],140500,2018-09-24,2IyZHf11b0mmL3K3jYyqMM,3H6djQE6LC4llH3i5t2tZM,2IyZHf11b0mmL3K3jYyqMM,57,https://api.spotify.com/v1/audio-analysis/2IyZHf11b0mmL3K3jYyqMM,4,https://api.spotify.com/v1/tracks/2IyZHf11b0mmL3K3jYyqMM,audio_features,spotify:track:2IyZHf11b0mmL3K3jYyqMM
3671,Take It,Dom Dolla,0.0259,0.851,0.742,0.256,0,0.111,-6.126,1,0.0377,123.033,0.236,"['australian house', 'bass house', 'deep groove house', 'house']",234440,2018-07-27,14fIlfcmFPlj4V2IazeJ25,205i7E8fNVfojowcQSfK9m,14fIlfcmFPlj4V2IazeJ25,61,https://api.spotify.com/v1/audio-analysis/14fIlfcmFPlj4V2IazeJ25,4,https://api.spotify.com/v1/tracks/14fIlfcmFPlj4V2IazeJ25,audio_features,spotify:track:14fIlfcmFPlj4V2IazeJ25
3672,Across The Room - Tycho Remix,ODESZA,0.00371,0.383,0.765,6.08e-05,6,0.101,-7.295,1,0.0539,177.89,0.16,"['chillwave', 'ninja', 'tropical house']",231910,2018-06-20,1nzLNeyk835Q9h1zPS4gr9,21mKp7DqtSNHhCAU2ugvUw,1nzLNeyk835Q9h1zPS4gr9,54,https://api.spotify.com/v1/audio-analysis/1nzLNeyk835Q9h1zPS4gr9,4,https://api.spotify.com/v1/tracks/1nzLNeyk835Q9h1zPS4gr9,audio_features,spotify:track:1nzLNeyk835Q9h1zPS4gr9
3673,Aldrig Mer (feat. TENDER),Kasbo,0.0649,0.359,0.774,0.104,7,0.11,-5.789,1,0.0745,184.739,0.141,"['catstep', 'edm', 'electropop', 'indie electro-pop', 'pop edm', 'swedish electropop', 'tropical house', 'vapor soul', 'vapor twitch']",243919,2018-03-23,1ImSaJvKCQ0Gewcdx1KzF8,1ikID9RZZMvkuBGDWrqajq,1ImSaJvKCQ0Gewcdx1KzF8,53,https://api.spotify.com/v1/audio-analysis/1ImSaJvKCQ0Gewcdx1KzF8,4,https://api.spotify.com/v1/tracks/1ImSaJvKCQ0Gewcdx1KzF8,audio_features,spotify:track:1ImSaJvKCQ0Gewcdx1KzF8
3674,A Sea of Roses,The Milk Carton Kids,0.92,0.516,0.166,0.0232,6,0.0995,-17.147,1,0.042,140.548,0.329,"['chamber pop', 'folk-pop', 'indie folk', 'indie pop', 'neo mellow', 'new americana', 'progressive bluegrass', 'stomp and flutter', 'stomp and holler']",199840,2018-06-29,72w7uKE7CkNwpLFUBHqUkC,7fxtWEwKKrFaykKItspdYg,72w7uKE7CkNwpLFUBHqUkC,57,https://api.spotify.com/v1/audio-analysis/72w7uKE7CkNwpLFUBHqUkC,4,https://api.spotify.com/v1/tracks/72w7uKE7CkNwpLFUBHqUkC,audio_features,spotify:track:72w7uKE7CkNwpLFUBHqUkC
3675,I Ain't Done,Andy Mineo,0.0074,0.762,0.533,0.00173,1,0.186,-9.154,1,0.0677,114.971,0.416,['christian hip hop'],215061,2018-04-27,4mKyB23qqYwpatX1VAVCUz,1TMrnxBwZfmfRxsGzkNIHw,4mKyB23qqYwpatX1VAVCUz,52,https://api.spotify.com/v1/audio-analysis/4mKyB23qqYwpatX1VAVCUz,5,https://api.spotify.com/v1/tracks/4mKyB23qqYwpatX1VAVCUz,audio_features,spotify:track:4mKyB23qqYwpatX1VAVCUz
3676,"Mad World (feat. K.J. Apa, Camila Mendes & Lili Reinhart)",Riverdale Cast,0.59,0.476,0.343,0.0,3,0.128,-10.417,1,0.0339,171.764,0.239,"['pop', 'post-teen pop']",188180,2018-05-18,1Q2z1qC6C0Db6nDFkwr9wd,3famqI9bxiwLcAjRq3HuYl,1Q2z1qC6C0Db6nDFkwr9wd,64,https://api.spotify.com/v1/audio-analysis/1Q2z1qC6C0Db6nDFkwr9wd,4,https://api.spotify.com/v1/tracks/1Q2z1qC6C0Db6nDFkwr9wd,audio_features,spotify:track:1Q2z1qC6C0Db6nDFkwr9wd
3677,Fall Down (feat. Kevin Gates & Rvssian),Moneybagg Yo,0.00401,0.698,0.615,0.0,1,0.0641,-8.139,0,0.102,140.012,0.687,"['rap', 'southern hip hop', 'trap music']",181773,2018-11-02,4z7OagqDCwZjkZBedfA0OG,3tJoFztHeIJkJWMrx0td2f,4z7OagqDCwZjkZBedfA0OG,50,https://api.spotify.com/v1/audio-analysis/4z7OagqDCwZjkZBedfA0OG,4,https://api.spotify.com/v1/tracks/4z7OagqDCwZjkZBedfA0OG,audio_features,spotify:track:4z7OagqDCwZjkZBedfA0OG
3678,El Del Jolly Rancher,El de La Guitarra,0.198,0.737,0.617,0.0,9,0.152,-8.247,0,0.0335,113.446,0.674,['regional mexican pop'],241445,2018-01-31,6x8tNMBrOiFAvA2WoqYKgU,0LIyZkH7LLbsA9T4YwUnEk,6x8tNMBrOiFAvA2WoqYKgU,54,https://api.spotify.com/v1/audio-analysis/6x8tNMBrOiFAvA2WoqYKgU,4,https://api.spotify.com/v1/tracks/6x8tNMBrOiFAvA2WoqYKgU,audio_features,spotify:track:6x8tNMBrOiFAvA2WoqYKgU
3679,Entre Beso Y Beso,La Arrolladora Banda El Limón De Rene Camacho,0.197,0.863,0.641,0.0,9,0.0793,-4.543,0,0.0379,129.898,0.964,"['banda', 'grupera', 'norteno', 'regional mexican']",182307,2018-03-23,7uL1ZsdxI8l4sgEsgCmTlG,5bSfBBCxY8QAk4Pifveisz,7uL1ZsdxI8l4sgEsgCmTlG,62,https://api.spotify.com/v1/audio-analysis/7uL1ZsdxI8l4sgEsgCmTlG,4,https://api.spotify.com/v1/tracks/7uL1ZsdxI8l4sgEsgCmTlG,audio_features,spotify:track:7uL1ZsdxI8l4sgEsgCmTlG
3680,Losing My Religion,Lauren Daigle,0.757,0.592,0.45,0.000138,7,0.0587,-7.707,1,0.0276,72.013,0.387,"['ccm', 'christian music', 'worship']",209827,2018-09-07,4tnI7pL2jWNsDlA6Nlr640,40LHVA5BTQp9RxHOQ9JPYj,4tnI7pL2jWNsDlA6Nlr640,54,https://api.spotify.com/v1/audio-analysis/4tnI7pL2jWNsDlA6Nlr640,4,https://api.spotify.com/v1/tracks/4tnI7pL2jWNsDlA6Nlr640,audio_features,spotify:track:4tnI7pL2jWNsDlA6Nlr640
3681,Rockstar (feat. Lil Skies),Lil Durk,0.205,0.443,0.691,0.0,11,0.547,-6.228,0,0.124,148.385,0.344,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'southern hip hop', 'trap music']",158193,2018-11-09,316R2o0sNz4kCKyR0DOCVj,3hcs9uc56yIGFCSy9leWe7,316R2o0sNz4kCKyR0DOCVj,52,https://api.spotify.com/v1/audio-analysis/316R2o0sNz4kCKyR0DOCVj,4,https://api.spotify.com/v1/tracks/316R2o0sNz4kCKyR0DOCVj,audio_features,spotify:track:316R2o0sNz4kCKyR0DOCVj
