,ranking,,title,artist,rank_week,index
2887,88,,Jackie Chan,Tiesto & Dzeko Featuring Preme & Post Malone,2018-07-21,Jackie Chan Tiesto & Dzeko Featuring Preme & Post Malone
2986,87,,Ocean,TK Kravitz Featuring Jacqueez,2018-07-28,Ocean TK Kravitz Featuring Jacqueez
4475,76,,Talk To Me,Tory Lanez & Rich The Kid,2018-11-10,Talk To Me Tory Lanez & Rich The Kid
3203,4,,Sicko Mode,Travis Scott,2018-08-18,Sicko Mode Travis Scott
3207,8,,Stargazing,Travis Scott,2018-08-18,Stargazing Travis Scott
3223,24,,Carousel,Travis Scott,2018-08-18,Carousel Travis Scott
3224,25,,Yosemite,Travis Scott,2018-08-18,Yosemite Travis Scott
3225,26,,R.I.P Screw,Travis Scott,2018-08-18,R.I.P Screw Travis Scott
3226,27,,Stop Trying To Be God,Travis Scott,2018-08-18,Stop Trying To Be God Travis Scott
3229,30,,Wake Up,Travis Scott,2018-08-18,Wake Up Travis Scott
3230,31,,No Bystanders,Travis Scott,2018-08-18,No Bystanders Travis Scott
3235,36,,5% Tint,Travis Scott,2018-08-18,5% Tint Travis Scott
3237,38,,Can't Say,Travis Scott,2018-08-18,Can't Say Travis Scott
3240,41,,NC-17,Travis Scott,2018-08-18,NC-17 Travis Scott
3242,43,,Who? What!,Travis Scott,2018-08-18,Who? What! Travis Scott
3246,47,,Skeletons,Travis Scott,2018-08-18,Skeletons Travis Scott
3247,48,,Astrothunder,Travis Scott,2018-08-18,Astrothunder Travis Scott
3249,50,,Butterfly Effect,Travis Scott,2018-08-18,Butterfly Effect Travis Scott
3252,53,,Houstonfornication,Travis Scott,2018-08-18,Houstonfornication Travis Scott
3267,68,,Coffee Bean,Travis Scott,2018-08-18,Coffee Bean Travis Scott
1915,16,,Watch,Travis Scott Featuring Lil Uzi Vert & Kanye West,2018-05-19,Watch Travis Scott Featuring Lil Uzi Vert & Kanye West
3345,46,,Taking A Walk,Trippie Redd,2018-08-25,Taking A Walk Trippie Redd
4479,80,,Topanga,Trippie Redd,2018-11-10,Topanga Trippie Redd
4672,73,,Love Scars 3,Trippie Redd,2018-11-24,Love Scars 3 Trippie Redd
4697,98,,Toxic Waste,Trippie Redd,2018-11-24,Toxic Waste Trippie Redd
7593,94,,Under Enemy Arms,Trippie Redd,2019-06-15,Under Enemy Arms Trippie Redd
4654,55,,1400 / 999 Freestyle,Trippie Redd Featuring Juice WRLD,2018-11-24,1400 / 999 Freestyle Trippie Redd Featuring Juice WRLD
4688,89,,Negative Energy,Trippie Redd Featuring Kodie Shane,2018-11-24,Negative Energy Trippie Redd Featuring Kodie Shane
981,82,,Dark Knight Dummo,Trippie Redd Featuring Travis Scott,2018-03-10,Dark Knight Dummo Trippie Redd Featuring Travis Scott
379,80,,My My My!,Troye Sivan,2018-01-27,My My My! Troye Sivan
2859,60,,Jumpsuit,twenty one pilots,2018-07-21,Jumpsuit twenty one pilots
2978,79,,Nico And The Niners,twenty one pilots,2018-07-28,Nico And The Niners twenty one pilots
4180,81,,My Blood,twenty one pilots,2018-10-20,My Blood twenty one pilots
4482,83,,Dip,Tyga & Nicki Minaj,2018-11-10,Dip Tyga & Nicki Minaj
2281,82,,Taste,Tyga Featuring Offset,2018-06-09,Taste Tyga Featuring Offset
1488,89,,OKRA,"Tyler, The Creator",2018-04-14,"OKRA Tyler, The Creator"
7312,13,,Earfquake,"Tyler, The Creator",2019-06-01,"Earfquake Tyler, The Creator"
7350,51,,I Think,"Tyler, The Creator",2019-06-01,"I Think Tyler, The Creator"
7364,65,,Running Out Of Time,"Tyler, The Creator",2019-06-01,"Running Out Of Time Tyler, The Creator"
7366,67,,Igor's Theme,"Tyler, The Creator",2019-06-01,"Igor's Theme Tyler, The Creator"
7369,70,,New Magic Wand,"Tyler, The Creator",2019-06-01,"New Magic Wand Tyler, The Creator"
7373,74,,A Boy Is A Gun,"Tyler, The Creator",2019-06-01,"A Boy Is A Gun Tyler, The Creator"
7384,85,,What's Good,"Tyler, The Creator",2019-06-01,"What's Good Tyler, The Creator"
7387,88,,Puppet,"Tyler, The Creator",2019-06-01,"Puppet Tyler, The Creator"
179,80,,One Foot,WALK THE MOON,2018-01-13,One Foot WALK THE MOON
78,79,,You Broke Up With Me,Walker Hayes,2018-01-06,You Broke Up With Me Walker Hayes
2388,89,,Africa,Weezer,2018-06-16,Africa Weezer
4842,43,,Last Christmas,Wham!,2018-12-08,Last Christmas Wham!
2972,73,,Fr Fr,Wiz Khalifa Featuring Lil Skies,2018-07-28,Fr Fr Wiz Khalifa Featuring Lil Skies
2971,72,,Hopeless Romantic,Wiz Khalifa Featuring Swae Lee,2018-07-28,Hopeless Romantic Wiz Khalifa Featuring Swae Lee
1016,17,,Sad!,XXXTENTACION,2018-03-17,Sad! XXXTENTACION
1046,47,,Changes,XXXTENTACION,2018-03-17,Changes XXXTENTACION
1234,35,,Moonlight,XXXTENTACION,2018-03-31,Moonlight XXXTENTACION
1266,67,,The Remedy For A Broken Heart (Why Am I So In Love),XXXTENTACION,2018-03-31,The Remedy For A Broken Heart (Why Am I So In Love) XXXTENTACION
1281,82,,Numb,XXXTENTACION,2018-03-31,Numb XXXTENTACION
1294,95,,Going Down!,XXXTENTACION,2018-03-31,Going Down! XXXTENTACION
2518,19,,Jocelyn Flores,XXXTENTACION,2018-06-30,Jocelyn Flores XXXTENTACION
2541,42,,Everybody Dies In Their Nightmares,XXXTENTACION,2018-06-30,Everybody Dies In Their Nightmares XXXTENTACION
2579,80,,Hope,XXXTENTACION,2018-06-30,Hope XXXTENTACION
4615,16,,BAD!,XXXTENTACION,2018-11-24,BAD! XXXTENTACION
5036,37,,whoa (mind in awe),XXXTENTACION,2018-12-22,whoa (mind in awe) XXXTENTACION
5047,48,,Guardian Angel,XXXTENTACION,2018-12-22,Guardian Angel XXXTENTACION
5050,51,,I Don't Let Go,XXXTENTACION,2018-12-22,I Don't Let Go XXXTENTACION
5063,64,,Train Food,XXXTENTACION,2018-12-22,Train Food XXXTENTACION
5064,65,,What Are You So Afraid Of,XXXTENTACION,2018-12-22,What Are You So Afraid Of XXXTENTACION
5067,68,,Staring At The Sky,XXXTENTACION,2018-12-22,Staring At The Sky XXXTENTACION
5083,84,,Difference (Interlude),XXXTENTACION,2018-12-22,Difference (Interlude) XXXTENTACION
5788,89,,Sauce!,XXXTENTACION,2019-02-09,Sauce! XXXTENTACION
1282,83,,Infinity (888),XXXTENTACION Featuring Joey Bada$$,2018-03-31,Infinity (888) XXXTENTACION Featuring Joey Bada$$
5061,62,,One Minute,XXXTENTACION Featuring Kanye West & Travis Barker,2018-12-22,One Minute XXXTENTACION Featuring Kanye West & Travis Barker
95,96,,F**k Love,XXXTENTACION Featuring Trippie Redd,2018-01-06,F**k Love XXXTENTACION Featuring Trippie Redd
4427,28,,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,2018-11-10,Arms Around You XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee
58,59,,Rubbin Off The Paint,YBN Nahmir,2018-01-06,Rubbin Off The Paint YBN Nahmir
3191,92,,That's On Me,Yella Beezy,2018-08-11,That's On Me Yella Beezy
7493,94,,Bacc At It Again,"Yella Beezy, Gucci Mane & Quavo",2019-06-08,"Bacc At It Again Yella Beezy, Gucci Mane & Quavo"
7097,98,,Stop Snitching,YG,2019-05-11,Stop Snitching YG
2265,66,,Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018-06-09,"Big Bank YG Featuring 2 Chainz, Big Sean & Nicki Minaj"
3198,99,,Handgun,YG Featuring A$AP Rocky,2018-08-11,Handgun YG Featuring A$AP Rocky
7170,71,,Go Loko,"YG, Tyga & Jon Z",2019-05-18,"Go Loko YG, Tyga & Jon Z"
6086,87,,Worth It,YK Osiris,2019-03-02,Worth It YK Osiris
5694,95,,Murder On My Mind,YNW Melly,2019-02-02,Murder On My Mind YNW Melly
5670,71,,Mixed Personalities,YNW Melly Featuring Kanye West,2019-02-02,Mixed Personalities YNW Melly Featuring Kanye West
99,100,,Juice,Yo Gotti,2018-01-06,Juice Yo Gotti
5764,65,,Put A Date On It,Yo Gotti Featuring Lil Baby,2019-02-09,Put A Date On It Yo Gotti Featuring Lil Baby
3477,78,,Chanel (Go Get It),Young Thug Featuring Gunna & Lil Baby,2018-09-01,Chanel (Go Get It) Young Thug Featuring Gunna & Lil Baby
1688,89,,Anybody,Young Thug Featuring Nicki Minaj,2018-04-28,Anybody Young Thug Featuring Nicki Minaj
7411,12,,The London,"Young Thug, J. Cole & Travis Scott",2019-06-08,"The London Young Thug, J. Cole & Travis Scott"
76,77,,No Smoke,YoungBoy Never Broke Again,2018-01-06,No Smoke YoungBoy Never Broke Again
370,71,,Outside Today,YoungBoy Never Broke Again,2018-01-27,Outside Today YoungBoy Never Broke Again
1558,59,,Diamond Teeth Samurai,YoungBoy Never Broke Again,2018-04-21,Diamond Teeth Samurai YoungBoy Never Broke Again
1876,77,,Overdose,YoungBoy Never Broke Again,2018-05-12,Overdose YoungBoy Never Broke Again
1997,98,,Preach,YoungBoy Never Broke Again,2018-05-19,Preach YoungBoy Never Broke Again
5486,87,,Valuable Pain,YoungBoy Never Broke Again,2019-01-19,Valuable Pain YoungBoy Never Broke Again
3568,69,,I Am Who They Say I Am,YoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo,2018-09-08,I Am Who They Say I Am YoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo
184,85,,Rewrite The Stars,Zac Efron & Zendaya,2018-01-13,Rewrite The Stars Zac Efron & Zendaya
5385,86,,Ruin My Life,Zara Larsson,2019-01-12,Ruin My Life Zara Larsson
1672,73,,Let Me,Zayn,2018-04-28,Let Me Zayn
98,99,,Dusk Till Dawn,Zayn Featuring Sia,2018-01-06,Dusk Till Dawn Zayn Featuring Sia
3589,90,,Happy Now,Zedd & Elley Duhe,2018-09-08,Happy Now Zedd & Elley Duhe
6085,86,,365,Zedd & Katy Perry,2019-03-02,365 Zedd & Katy Perry
522,23,,The Middle,"Zedd, Maren Morris & Grey",2018-02-10,"The Middle Zedd, Maren Morris & Grey"
